ir1,ir2,ir1filt,ir2filt
93007,83278,-113,-9
93041,83268,-108,-7
93014,83265,-104,-6
93036,83260,-99,-3
93025,83254,-95,-1
93008,83252,-91,1
93010,83240,-85,5
92948,83212,-78,9
92922,83217,-67,15
92844,83172,-51,22
92809,83158,-29,32
92770,83129,-2,43
92739,83114,29,57
92710,83100,63,71
92692,83113,98,86
92686,83097,131,99
92692,83110,160,110
92712,83131,185,117
92736,83124,201,121
92748,83118,210,121
92772,83152,211,119
92778,83143,204,113
92816,83192,192,104
92850,83183,174,92
92855,83205,151,78
92859,83189,126,63
92881,83222,100,47
92904,83218,74,32
92926,83251,49,17
92940,83233,24,3
92959,83234,1,-10
92968,83248,-20,-21
92978,83248,-39,-30
92998,83258,-56,-38
93016,83272,-72,-45
93018,83251,-85,-50
93025,83271,-96,-54
93009,83262,-105,-57
93000,83262,-110,-59
92992,83264,-112,-60
92995,83262,-110,-59
92976,83274,-105,-58
93003,83257,-99,-57
92973,83250,-91,-55
93007,83279,-82,-52
93009,83261,-75,-50
92994,83261,-68,-48
93022,83268,-63,-45
93046,83270,-59,-43
93024,83267,-58,-42
93028,83278,-58,-41
93030,83292,-58,-40
93043,83299,-58,-41
93033,83293,-58,-42
93086,83300,-59,-44
93066,83299,-61,-47
93124,83296,-65,-48
93115,83304,-70,-50
93130,83315,-77,-51
93130,83316,-84,-52
93125,83322,-90,-54
93134,83318,-96,-55
93138,83329,-99,-56
93145,83339,-101,-57
93152,83329,-102,-58
93149,83325,-102,-58
92726,83301,-94,-58
92751,83311,-66,-55
92753,83325,-22,-51
92758,83288,29,-47
92769,83302,82,-42
92768,83304,130,-36
92793,83308,171,-30
92804,83307,202,-25
92793,83335,222,-21
92807,83342,234,-19
92817,83340,238,-19
92824,83345,234,-20
92837,83350,225,-22
92845,83348,211,-25
92850,83359,194,-28
92865,83370,176,-31
92879,83372,156,-34
92917,83366,136,-37
92899,83366,114,-39
92887,83342,94,-40
92900,83354,77,-39
92912,83347,61,-37
92919,83371,48,-33
92924,83344,36,-30
92937,83350,26,-26
92935,83363,17,-22
92960,83374,9,-19
92937,83371,1,-16
92944,83380,-4,-15
92956,83367,-9,-14
92946,83415,-13,-14
92937,83395,-16,-16
92979,83413,-18,-18
92975,83378,-20,-21
93006,83391,-24,-22
93004,83367,-29,-22
92992,83371,-35,-20
93012,83373,-40,-17
93007,83400,-45,-13
92994,83396,-50,-10
93000,83416,-53,-8
93003,83413,-54,-8
93006,83400,-55,-8
93005,83404,-55,-8
92998,83377,-54,-8
92991,83364,-53,-6
92940,83368,-49,-1
92893,83321,-42,4
92823,83325,-29,12
92785,83298,-9,23
92735,83270,15,36
92669,83255,47,50
92633,83239,82,66
92614,83219,120,82
92583,83228,158,99
92583,83203,194,114
92594,83216,225,127
92589,83221,249,137
92608,83234,266,144
92620,83244,274,147
92637,83267,275,145
92672,83271,267,140
92686,83281,252,131
92694,83286,231,119
92718,83305,206,106
92718,83299,179,92
92739,83324,150,77
92756,83324,122,63
92753,83325,94,49
92770,83333,68,36
92787,83340,44,24
92796,83342,22,14
92784,83352,2,5
92806,83352,-14,-2
92792,83356,-28,-8
92781,83323,-40,-13
92762,83333,-47,-16
92778,83331,-51,-16
92758,83328,-52,-15
92755,83339,-51,-12
92755,83333,-48,-10
92721,83314,-44,-8
92720,83317,-38,-4
92708,83305,-30,0
92687,83311,-22,3
92679,83330,-13,7
92685,83319,-4,9
92704,83317,4,11
92712,83318,9,12
92696,83302,12,13
92713,83312,12,14
92730,83309,10,15
92745,83332,5,15
92734,83325,-1,14
92755,83323,-9,12
92744,83322,-19,10
92764,83322,-28,8
92758,83311,-38,6
92774,83323,-47,5
92745,83337,-55,3
92775,83323,-62,2
92764,83321,-68,0
92783,83325,-73,0
92776,83329,-77,-1
92798,83312,-81,-2
92793,83330,-84,-2
92803,83343,-88,-3
92794,83336,-91,-4
92793,83347,-94,-6
92801,83330,-95,-8
92820,83317,-97,-9
92824,83325,-98,-9
92852,83322,-101,-9
92825,83331,-104,-8
92837,83325,-107,-7
92800,83333,-108,-6
92804,83330,-108,-6
92795,83313,-105,-5
92799,83337,-100,-5
92803,83329,-95,-4
92800,83320,-89,-4
92795,83319,-83,-3
92776,83308,-77,-2
92722,83272,-69,0
92666,83248,-58,4
92581,83238,-40,11
92541,83214,-16,21
92467,83198,14,32
92416,83189,50,46
92370,83160,91,59
92356,83169,135,73
92365,83175,176,86
92391,83153,212,96
92390,83181,240,104
92398,83195,258,108
92433,83196,267,109
92429,83221,266,105
92440,83215,258,99
92461,83231,243,89
92489,83239,223,78
92498,83264,199,64
92506,83270,172,50
92526,83278,144,34
92543,83298,115,19
92542,83310,87,3
92562,83312,61,-11
92542,83293,37,-25
92591,83284,15,-36
92573,83290,-3,-44
92593,83293,-21,-49
92595,83278,-35,-51
92618,83271,-49,-52
92598,83296,-60,-50
92603,83283,-70,-48
92574,83284,-76,-45
92569,83262,-80,-42
92544,83283,-79,-38
92561,83297,-76,-35
92557,83285,-71,-33
92558,83293,-66,-31
92573,83289,-61,-31
92563,83297,-56,-31
92571,83287,-54,-31
92561,83290,-52,-31
92569,83280,-50,-31
92571,83291,-50,-31
92588,83280,-51,-31
92609,83289,-53,-30
92621,83296,-58,-29
92647,83294,-65,-29
92640,83294,-73,-29
92642,83300,-83,-30
92651,83296,-92,-30
92681,83288,-101,-31
92667,83317,-110,-31
92679,83298,-118,-32
92693,83304,-126,-32
